file_name,original_path,inference_path,ground_truth,original_transcript_raw,original_transcript,inference_transcript_raw,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi
61-70968-0013,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0013.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech_86/61-70968-0013_inference.wav,BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CAPLESS AND TERRIFIED," Before them fled the stroller and his three sons, capless and terrified.",BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CAPLESS AND TERRIFIED," Before them clad the stroller and his three sons, capless and terrified.",BEFORE THEM CLAD THE STROLLER AND HIS THREE SONS CAPLESS AND TERRIFIED,0.0,0.1666666666666666,0.1666666666666666,3.5273661613464355,1.6937439441680908,0.8858225945647485
61-70968-0040,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0040.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech_86/61-70968-0040_inference.wav,RIGHT WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED ROBIN," ""'Write willingly, for between us we have won the battle,' answered Robin.",WRITE WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED ROBIN," ""'Right willingly, for between us we have won the battle,' answered Robin.",RIGHT WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED ROBIN,0.3333333333333333,0.0,-0.3333333333333333,3.3885304927825928,1.7270076274871826,0.8801015732149472
61-70968-0015,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0015.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech_86/61-70968-0015_inference.wav,NAY WE REFUSED THEIR REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER," Nay, we refused their request most politely, most noble, said the little stroller.",NAY WE REFUSED THEIR REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER," Nay, we refused their request most politely. Most noble, said the little stroller.",NAY WE REFUSED THEIR REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER,0.0,0.0,0.0,3.412842035293579,1.7174301147460938,0.8940502432150497
61-70968-0028,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0028.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech_86/61-70968-0028_inference.wav,THE HEAD AND CHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET," The head and chief of the riot, the Nottingham apprentice, with clenched fists, threatened Montfichet.",THE HEAD AND CHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET, The head and chief of the riot that Ardingham apprenticed with quenched fists threatened Montfichet.,THE HEAD AND CHIEF OF THE RIOT THAT ARDINGHAM APPRENTICED WITH QUENCHED FISTS THREATENED MONTFICHET,0.0,0.6,0.6,3.914846897125244,1.6680498123168943,0.9073036273654403
61-70968-0054,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0054.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech_86/61-70968-0054_inference.wav,MISTRESS FITZOOTH HAD BEEN CARRIED OFF BY THE SHERIFF'S DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN ALONE HAD THE CARE OF MONTFICHET, mistress fitzuth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin alone had the care of montfichet,MISTRESS FITZUTH HAD BEEN CARRIED OFF BY THE SHERIFFS DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN ALONE HAD THE CARE OF MONTFICHET, mistress fitzuth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin alone had the care of montvich,MISTRESS FITZUTH HAD BEEN CARRIED OFF BY THE SHERIFFS DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN ALONE HAD THE CARE OF MONTVICH,0.0666666666666666,0.1666666666666666,0.0999999999999999,3.5805788040161133,1.7462538480758667,0.901659843186196
61-70968-0011,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0011.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech_86/61-70968-0011_inference.wav,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT," He gave way to the others very readily, and retreated unperceived by the squire and mistress Fitzuth to the rear of the tent.",HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZUTH TO THE REAR OF THE TENT," He gave way to the others very readily, and retreated unperceived by the squire and mistress Fitzhuth to the rear of the tent.",HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZHUTH TO THE REAR OF THE TENT,0.0869565217391304,0.0869565217391304,0.0,3.487471580505371,1.6289280652999878,0.8950650868241302
61-70968-0046,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0046.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech_86/61-70968-0046_inference.wav,NOTTINGHAM CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED," Nottingham Castle was reached, and admittance was demanded.",NOTTINGHAM CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED," Nottingham Castle was reached, and admittance was demanded.",NOTTINGHAM CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED,0.0,0.0,0.0,3.886075973510742,1.6738712787628174,0.911378795442206
61-70968-0050,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0050.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech_86/61-70968-0050_inference.wav,HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS TIGHTEN UPON HIS ARM," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm.",HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS TIGHTEN UPON HIS ARM," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm.",HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS TIGHTEN UPON HIS ARM,0.0,0.0,0.0,3.5611889362335205,1.6452531814575195,0.8802207450821906
61-70968-0014,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0014.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech_86/61-70968-0014_inference.wav,WHAT IS THE TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLEW TWICE ON A SILVER WHISTLE WHICH HUNG AT HIS BELT," ""'What is the tumult and rioting?' cried out the squire authoritatively, and he blew twice on the silver whistle which hung at his belt.",WHAT IS THE TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLEW TWICE ON THE SILVER WHISTLE WHICH HUNG AT HIS BELT," ""'What is that tumult and rioting?' cried out the squire authoritatively, and he blinked twice on the silver whistle which haunted his belt.",WHAT IS THAT TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLINKED TWICE ON THE SILVER WHISTLE WHICH HAUNTED HIS BELT,0.125,0.5833333333333334,0.4583333333333333,2.972963094711304,1.565505862236023,0.8829320385476781
61-70968-0019,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0019.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech_86/61-70968-0019_inference.wav,IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AND HE TURNED UPON THE CROWD," It is enough, said George Gamewell sharply, as he turned upon the crowd.",IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AS HE TURNED UPON THE CROWD," It is enough, said George Gamewell sharply, as he turned upon the crowd.",IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AS HE TURNED UPON THE CROWD,0.1538461538461538,0.1538461538461538,0.0,3.193319320678711,1.5180145502090454,0.886665061865391
