file_name,file_path,duration,transcription,speaker_id
VIVOSDEV05_155,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_155.wav,2.375,NỬA VÒNG TRÁI ĐẤT HƠN BẢY NĂM,VIVOSDEV05
VIVOSDEV05_212,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_212.wav,2.625,BỐN CHIẾC TRỐNG ĐẠI PHÈNG LA,VIVOSDEV05
VIVOSDEV05_030,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_030.wav,2.375,CỦA NHỮNG THẾ LỰC HÙNG MẠNH,VIVOSDEV05
VIVOSDEV05_037,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_037.wav,1.9375,ÔNG NHẶT NÓ LÊN,VIVOSDEV05
VIVOSDEV05_286,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_286.wav,3.625,THẾ NHƯNG KHI GIÁ PHÔI THÉP THẾ GIỚI CAO DẦN,VIVOSDEV05
VIVOSDEV05_209,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_209.wav,3.1875,TÊN GỌI TẠI ĐỊA PHƯƠNG LÀ TRẮC THỐI,VIVOSDEV05
VIVOSDEV05_109,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_109.wav,2.5625,DOANH NGHIỆP TUYỂN DỤNG LAO ĐỘNG NƯỚC NGOÀI,VIVOSDEV05
VIVOSDEV05_206,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_206.wav,4.5625,TỨC KHẮC ẬP VỀ KÉO MỌI NGƯỜI THỨ TRỞ LẠI THỜI HOANG SƠ,VIVOSDEV05
VIVOSDEV05_231,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_231.wav,3.625,MỚI ĐÂY NHẤT LÀ CÁC TIỂU VƯƠNG QUỐC Ả RẬP THỐNG NHẤT,VIVOSDEV05
VIVOSDEV05_199,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_199.wav,2.9375,LẦN LỮA MÃI MỚI GẶP ĐƯỢC TUYÊN,VIVOSDEV05
VIVOSDEV05_249,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_249.wav,4.125,TÔI NGHĨ THỦ TƯỚNG SẼ KHÔNG NÉ TRÁNH BẤT CỨ CÂU HỎI NÀO,VIVOSDEV05
VIVOSDEV05_270,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_270.wav,2.1875,CHƯA RỤC RỊCH GÌ,VIVOSDEV05
VIVOSDEV05_150,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_150.wav,2.6875,NGỒI CHỒM CHỒM CÁCH CHỈ MẤY MÉT,VIVOSDEV05
VIVOSDEV05_136,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_136.wav,2.125,RA HIỆU CHO TÔI IM LẶNG,VIVOSDEV05
VIVOSDEV05_004,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_004.wav,4.0625,HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN,VIVOSDEV05
VIVOSDEV05_185,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_185.wav,2.5625,MÀ MƯỜNG TƯỢNG RA HÌNH BÓNG MẸ,VIVOSDEV05
VIVOSDEV05_065,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_065.wav,3.65625,NHỮNG NGƯỜI SỐNG THÌ THA THẨN TRONG NHÀ NGOÀI NGÕ,VIVOSDEV05
VIVOSDEV05_055,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_055.wav,3.34375,NHƯNG MỨC ÁN TỬ HÌNH ĐỐI VỚI CÁC BỊ CÁO LÀ TƯƠNG XỨNG,VIVOSDEV05
VIVOSDEV05_087,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_087.wav,2.40625,CẢ KHÔNG GIAN NHUỐM MÀU TRO BẾP,VIVOSDEV05
VIVOSDEV05_170,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_170.wav,3.875,CHẬM NẮM BẮT XU HƯỚNG PHÁT TRIỂN CÔNG NGHỆ MỚI,VIVOSDEV05
VIVOSDEV05_189,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_189.wav,2.4375,MỖI NGƯỜI MỘT SỐ PHẬN EM À,VIVOSDEV05
VIVOSDEV05_261,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_261.wav,3.5625,LẠI QUAY RA TẬP VIẾT BÁO RỒI GỬI VU VƠ,VIVOSDEV05
VIVOSDEV05_295,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_295.wav,2.8125,LÀM HỎNG CÁC THIẾT BỊ CỦA TÊN LỬA,VIVOSDEV05
VIVOSDEV05_119,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_119.wav,3.9375,MÀ CÒN BỊ NHỮNG BỘ MẶT LẠNH TE KIA HOẠNH HỌE,VIVOSDEV05
VIVOSDEV05_120,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_120.wav,3.03125,NHƯNG MÙI HÔI VẪN XỘC VÀO TẬN ÓC,VIVOSDEV05
VIVOSDEV05_202,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_202.wav,3.84375,CHỊ HAI CHỦ QUÁN NGHE BÀN TÁN RÔM RẢ CŨNG RA GÓP CHUYỆN,VIVOSDEV05
VIVOSDEV05_107,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_107.wav,4.875,TRÔNG MỘT CÔ NÀNG ĐỔ NGƯỜI LÊN LƯNG ANH NGƯỜI YÊU GẦY CÒM,VIVOSDEV05
VIVOSDEV05_043,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_043.wav,3.0,NGUYÊN THỨ TRƯỞNG MAI VĂN DÂU ĐÃ BỊ BẮT,VIVOSDEV05
VIVOSDEV05_238,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_238.wav,3.0625,CỘNG ĐỒNG NGƯỜI MÊ TOÁN HỌC TRÊN TOÀN THẾ GIỚI,VIVOSDEV05
VIVOSDEV05_143,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_143.wav,4.34375,NHỎ ĐƯA TAY RA CÀO HẾT BÙN KHÔ TRÊN CỔ TỚ,VIVOSDEV05
VIVOSDEV05_135,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_135.wav,3.5,KHI CÔ THỂ HIỆN KHÔNG MẤY THÀNH CÔNG Ở LỄ KHAI MẠC,VIVOSDEV05
VIVOSDEV05_125,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_125.wav,2.25,ĐANG LÀM VIỆC KHÔNG NGỪNG NGHỈ,VIVOSDEV05
VIVOSDEV05_129,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_129.wav,2.34375,THU HÚT RẤT LÀ NHIỀU LOÀI CHIM,VIVOSDEV05
VIVOSDEV05_226,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_226.wav,2.0625,MỘT CÚ NGOẶT KHÔNG CHÍNH XÁC,VIVOSDEV05
VIVOSDEV05_097,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_097.wav,2.125,THU CHẠM NGÕ RẤT HIỀN,VIVOSDEV05
VIVOSDEV05_251,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_251.wav,2.5,BỌN BUÔN LẬU MA TÚY VÀ VŨ KHÍ,VIVOSDEV05
VIVOSDEV05_263,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_263.wav,4.4375,NGHE TIẾNG XÌNH XỊCH XA XA THÌ ĐOÁN TRÚNG PHÓC LÀ HÚT HẦM CẦU,VIVOSDEV05
VIVOSDEV05_115,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_115.wav,3.875,THỜI HẠN SỬ DỤNG VÀ LOẠI SẢN PHẨM BỘT,VIVOSDEV05
VIVOSDEV05_091,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_091.wav,2.0625,TRÁN GIÔ,VIVOSDEV05
VIVOSDEV05_200,./tiengviet/vivos_data/test/waves/VIVOSDEV05/VIVOSDEV05_200.wav,2.75,LÀM ĐƯỜNG DÂY ĐỂ NỐI CÁC MẢNH ĐỜI,VIVOSDEV05
VIVOSDEV15_209,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_209.wav,3.186875,HỌ THÍCH NGHI VỚI VĂN HÓA CÔNG TY NHƯ THẾ NÀO,VIVOSDEV15
VIVOSDEV15_267,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_267.wav,3.499375,CUỐI CÙNG HỌ DẪN NHAU VỀ NHÀ VỚI THÚNG LÀN KHÔNG,VIVOSDEV15
VIVOSDEV15_062,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_062.wav,4.030625,NGHĨA LÀ NẾU BẠN ĐANG LÀM VIỆC DƯỚI QUYỀN MỘT GIÁM SÁT VIÊN,VIVOSDEV15
VIVOSDEV15_013,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_013.wav,3.686875,CŨNG ĐỀU TRONG TƯ THẾ NGÕ NHỎ PHỐ NHỎ PHỞ TÔI Ở ĐÓ,VIVOSDEV15
VIVOSDEV15_168,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_168.wav,5.561875,MÂM CƠM VẪN THANH ĐẠM TỦ ÁO CỦA VỢ CŨNG CHỈ VÀI BỘ ĐƠN SƠ,VIVOSDEV15
VIVOSDEV15_239,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_239.wav,4.374375,THẬT RA THÌ CŨNG KHÔNG THỂ LÀM CẦU KÌ NHƯ Ở NHÀ ĐƯỢC,VIVOSDEV15
VIVOSDEV15_147,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_147.wav,4.249375,BẮT ĐẦU CUỘC CHẠY ĐUA MÙA KINH DOANH TẾT GIỮA BÁNH NỘI VÀ BÁNH NGOẠI,VIVOSDEV15
VIVOSDEV15_173,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_173.wav,4.749375,HÌNH THỨC KỶ LUẬT NÀO CŨNG CHỈ CÓ TÍNH ĐỊNH HƯỚNG RĂN ĐE,VIVOSDEV15
VIVOSDEV15_271,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_271.wav,4.593125,PHIM MỚI CỦA TRƯƠNG NGHỆ MƯU SỰ TRỞ LẠI DÒNG PHIM NGHỆ THUẬT,VIVOSDEV15
VIVOSDEV15_020,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_020.wav,2.843125,CÂU CHUYỆN CỦA QUÁ KHỨ ÔNG KỂ KHÔNG BIẾT BAO NHIÊU LẦN,VIVOSDEV15
VIVOSDEV15_204,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_204.wav,4.343125,SÁNG CHÚNG TÔI TẠM BIỆT THUNG NAI VÀ NHỮNG CHỦ NHÂN MẾN KHÁCH MỘC MẠC,VIVOSDEV15
VIVOSDEV15_117,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_117.wav,3.686875,TRÊN THỰC TẾ MỘT CUỘC ĐIỀU TRA ĐÃ ĐƯỢC TIẾN HÀNH,VIVOSDEV15
VIVOSDEV15_026,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_026.wav,3.436875,ÔNG ĂN CHAY MÀ NGHĨ MẶN THÌ ĂN CHAY LÀM CHI,VIVOSDEV15
VIVOSDEV15_037,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_037.wav,3.655625,TRÊN CƠ SỞ ĐÓ NHỮNG HÀNH VI VI PHẠM SẼ ĐƯỢC XỬ LÝ NGHIÊM,VIVOSDEV15
VIVOSDEV15_194,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_194.wav,4.374375,NẰM TRÊN GIƯỜNG GẦN CẢ THÁNG BẤT GIÁC TÔI CẢM THẤY MÌNH THẬT CÔ ĐỘC,VIVOSDEV15
VIVOSDEV15_299,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_299.wav,3.874375,CÒN HÀNG TRĂM CHIẾC KHÁC ĐÃ BÁN THÌ ÔNG KHÔNG NHỚ HẾT,VIVOSDEV15
VIVOSDEV15_109,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_109.wav,3.030625,CUỘC THI TỰ HÀO SỬ VIỆT ĐÃ HẾT GIAI ĐOẠN I,VIVOSDEV15
VIVOSDEV15_265,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_265.wav,4.374375,HỌ KHÔNG BIẾT CHƠI PHÒNG NGỰ LÀ GÌ TRỪ KHI BỊ ĐỐI THỦ VÂY ÉP,VIVOSDEV15
VIVOSDEV15_180,./tiengviet/vivos_data/test/waves/VIVOSDEV15/VIVOSDEV15_180.wav,4.093125,HIỆN NAY BÀ ĐANG BỊ NHIỀU BỆNH VÀ SỐNG DƯỚI MỨC NGHÈO KHỔ,VIVOSDEV15
