file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi,speaker_similarity
1089-134686-0000,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0000_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0000_inference_merged.wav,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE, he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce, he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,0.0,0.0,0.0,4.288332939147949,3.0307490825653076,0.9682092051299619,0.8952392935752869
1089-134686-0001,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0001_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0001_inference_merged.wav,STUFF IT INTO YOU HIS BELLY COUNSELLED HIM," ""'Stuff it into you,' his belly counselled him."," ""'Stuff it into you,' his belly counselled him.",stuff it into you his belly counselled him,stuff it into you his belly counselled him,0.0,0.0,0.0,4.016790866851807,2.337406635284424,0.9585099433998688,0.8550754189491272
1089-134686-0002,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0002_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0002_inference_merged.wav,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS, After early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels., After early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels.,after early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels,after early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels,0.0,0.0,0.0,4.0864129066467285,3.013270139694214,0.9629833619397861,0.8634600043296814
1089-134686-0004,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0004_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0004_inference_merged.wav,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND," Number 10. Fresh Nelly is waiting on you. Good night, husband."," 10. Fresh Nelly is waiting on you. Good night, husband.",number 10 fresh nelly is waiting on you good night husband,10 fresh nelly is waiting on you good night husband,0.09090909090909091,0.18181818181818182,0.09090909090909091,4.022477626800537,2.9220938682556152,0.9724574302533625,0.8757352232933044
1089-134686-0005,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0005_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0005_inference_merged.wav,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS, the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness, the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness,the music came nearer and he recalled the words the words of shelleys fragment upon the moon wandering companionless pale for weariness,the music came nearer and he recalled the words the words of shelleys fragment upon the moon wandering companionless pale for weariness,0.0,0.0,0.0,4.2759599685668945,3.000457286834717,0.955548018456501,0.8576881289482117
1089-134686-0006,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0006_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0006_inference_merged.wav,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL, the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail, the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail,the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail,the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail,0.0,0.0,0.0,4.237024784088135,3.164746046066284,0.964938755529194,0.8825525641441345
1089-134686-0007,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0007_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0007_inference_merged.wav,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL," A cold, lucid indifference reigned in his soul.", A cold lucid indifference reigned in his soul.,a cold lucid indifference reigned in his soul,a cold lucid indifference reigned in his soul,0.0,0.0,0.0,4.325407028198242,2.8483846187591553,0.9613920283300821,0.878677487373352
1089-134686-0008,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0008_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0008_inference_merged.wav,THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF," The chaos in which his ardor extinguished itself was a cold indifferent knowledge of himself,", the chaos in which his ardor extinguished itself was a cold indifferent knowledge of himself,the chaos in which his ardor extinguished itself was a cold indifferent knowledge of himself,the chaos in which his ardor extinguished itself was a cold indifferent knowledge of himself,0.06666666666666667,0.06666666666666667,0.0,3.8784079551696777,2.732365131378174,0.9619270306654614,0.8463861346244812
1089-134686-0009,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0009_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0009_inference_merged.wav,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE," At most, by an alms given to a beggar whose blessing he fled from, he might hope wearily to win for himself some measure of actual grace.", at most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace,at most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace,at most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace,0.0,0.0,0.0,4.241524696350098,2.915621042251587,0.9693343528822199,0.8644793629646301
1089-134686-0010,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0010_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/21.5Hz/2K/librispeech/0.5s/merged/1089-134686-0010_inference_merged.wav,WELL NOW ENNIS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK," ""'Well now, Ennis, I declare you have a head and so has my stick.'"," ""'Well now, Ennis, I declare you have a head and so has my stick.'",well now ennis i declare you have a head and so has my stick,well now ennis i declare you have a head and so has my stick,0.0,0.0,0.0,3.9439854621887207,2.7471718788146973,0.9684551965040148,0.8743594288825989
