file_name,file_path,duration,transcription,speaker_id,asr_result,wer,MOS_Quality,MOS_Naturalness
61-70970-0003,./librispeech/LibriSpeech/test-clean/61/70970/61-70970-0003.flac,3.835,IF FOR A WHIM YOU BEGGAR YOURSELF I CANNOT STAY YOU,61," If, for a whim, you beggar yourself, I cannot stay you.",0.0,4.2043938636779785,3.285646677017212
4507-16021-0038,./librispeech/LibriSpeech/test-clean/4507/16021/4507-16021-0038.flac,3.885,IN THIS GUISE IT BECOMES HORRIBLE,4507, In this guise it becomes horrible.,0.0,3.3173251152038574,3.2394847869873047
4507-16021-0026,./librispeech/LibriSpeech/test-clean/4507/16021/4507-16021-0026.flac,31.615,TO KEEP AFLOAT AND TO RESCUE FROM OBLIVION TO HOLD ABOVE THE GULF WERE IT BUT A FRAGMENT OF SOME LANGUAGE WHICH MAN HAS SPOKEN AND WHICH WOULD OTHERWISE BE LOST THAT IS TO SAY ONE OF THE ELEMENTS GOOD OR BAD OF WHICH CIVILIZATION IS COMPOSED OR BY WHICH IT IS COMPLICATED TO EXTEND THE RECORDS OF SOCIAL OBSERVATION IS TO SERVE CIVILIZATION ITSELF,4507, to keep afloat and to rescue from oblivion to hold above the gulf were it but a fragment of some language which man has spoken and which would otherwise be lost that is to say one of the elements good or bad of which civilization is composed or by which it is complicated to extend the records of social observation is to serve civilization itself,0.0,3.771864414215088,3.90299391746521
4507-16021-0024,./librispeech/LibriSpeech/test-clean/4507/16021/4507-16021-0024.flac,5.14,ALGEBRA MEDICINE BOTANY HAVE EACH THEIR SLANG,4507," Algebra, medicine, botany have each their slang.",0.0,4.127615451812744,3.4910898208618164
4507-16021-0023,./librispeech/LibriSpeech/test-clean/4507/16021/4507-16021-0023.flac,12.07,THE SUGAR MANUFACTURER WHO SAYS LOAF CLARIFIED LUMPS BASTARD COMMON BURNT THIS HONEST MANUFACTURER TALKS SLANG,4507, the sugar manufacturer who says loaf clarified lumps bastard common burnt this honest manufacturer talks slang,0.0,3.799696683883667,3.699342250823975
7176-88083-0004,./librispeech/LibriSpeech/test-clean/7176/88083/7176-88083-0004.flac,7.5,BUT SUDDENLY STRAIGHT AND SWIFT AS A DIVING CORMORANT HE SHOT DOWN INTO THE TORRENT AND DISAPPEARED BENEATH THE SURFACE,7176," But suddenly, straight and swift as a diving cormorant, he shot down into the torrent and disappeared beneath the surface.",0.0,4.65507698059082,4.0659027099609375
7176-88083-0005,./librispeech/LibriSpeech/test-clean/7176/88083/7176-88083-0005.flac,4.7,ONCE FAIRLY A WING HOWEVER HE WHEELED AND MADE BACK HURRIEDLY FOR HIS PERCH,7176," Once fairly a wing, however, he wheeled and made back hurriedly for his perch.",0.0,4.457613468170166,3.8781120777130127
7176-88083-0006,./librispeech/LibriSpeech/test-clean/7176/88083/7176-88083-0006.flac,4.295,IT MIGHT HAVE SEEMED THAT A TROUT OF THIS SIZE WAS A FAIRLY SUBSTANTIAL MEAL,7176," It might have seemed that a trout of this size was a fairly substantial meal,",0.0,4.797778129577637,3.734559774398804
4507-16021-0019,./librispeech/LibriSpeech/test-clean/4507/16021/4507-16021-0019.flac,2.93,IT IS THE LANGUAGE OF WRETCHEDNESS,4507, It is the language of wretchedness.,0.0,3.8190934658050537,3.291895866394043
4507-16021-0018,./librispeech/LibriSpeech/test-clean/4507/16021/4507-16021-0018.flac,3.375,WHAT IS SLANG PROPERLY SPEAKING,4507," What is slang, properly speaking?",0.0,3.58778977394104,3.3567686080932617
