file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi,speaker_similarity
1089-134686-0017,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50HZ/4K/librispeech/noise/1089-134686-0017_inference.wav,STEPHEN LEANING BACK AND DRAWING IDLY ON HIS SCRIBBLER LISTENED TO THE TALK ABOUT HIM WHICH HERON CHECKED FROM TIME TO TIME BY SAYING," Stephen, leaning back and drawing idly on his scribbler, listened to the talk about him which Heron checked from time to time by saying,", freeman leaning back and drawing idly on his scribbler listened to the talk about it which harold checked from time to time by saying,stephen leaning back and drawing idly on his scribbler listened to the talk about him which heron checked from time to time by saying,freeman leaning back and drawing idly on his scribbler listened to the talk about it which harold checked from time to time by saying,0.0,0.125,0.125,2.528714895248413,1.2225453853607178,0.783396473004912,0.6544488072395325
1089-134686-0004,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0004.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50HZ/4K/librispeech/noise/1089-134686-0004_inference.wav,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND," Number 10, Fresh Nelly is waiting on you. Good night, husband."," Number 10. Fresh Nellie is waiting on you. Good night, husband.",number 10 fresh nelly is waiting on you good night husband,number 10 fresh nellie is waiting on you good night husband,0.09090909090909091,0.18181818181818182,0.09090909090909091,2.492086887359619,1.0947226285934448,0.7115246301050023,0.5583645701408386
1089-134686-0036,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0036.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50HZ/4K/librispeech/noise/1089-134686-0036_inference.wav,A GREAT SAINT SAINT FRANCIS XAVIER," a great saint, Saint Francis Xavier,"," a great saint, Saint Francis Xavier,",a great saint saint francis xavier,a great saint saint francis xavier,0.0,0.0,0.0,3.5343434810638428,1.2838249206542969,0.8049510086014127,0.4737429916858673
1089-134686-0016,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0016.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50HZ/4K/librispeech/noise/1089-134686-0016_inference.wav,THEN YOU CAN ASK HIM QUESTIONS ON THE CATECHISM DEDALUS, Then you can ask him questions on the Catechism Daedalus.," Then you can ask him questions on the catechism, Daedalus.",then you can ask him questions on the catechism daedalus,then you can ask him questions on the catechism daedalus,0.1,0.1,0.0,3.2119944095611572,1.2056536674499512,0.7401087655950006,0.5093508958816528
1089-134686-0007,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0007.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50HZ/4K/librispeech/noise/1089-134686-0007_inference.wav,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL," A cold, lucid indifference reigned in his soul.", A cold lucid indifference reigned in his soul.,a cold lucid indifference reigned in his soul,a cold lucid indifference reigned in his soul,0.0,0.0,0.0,3.8710286617279053,1.208168625831604,0.767935362326904,0.6636227369308472
1089-134691-0019,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134691/1089-134691-0019.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50HZ/4K/librispeech/noise/1089-134691-0019_inference.wav,A VOICE FROM BEYOND THE WORLD WAS CALLING, A voice from beyond the world was calling., A voice from beyond the world was calling.,a voice from beyond the world was calling,a voice from beyond the world was calling,0.0,0.0,0.0,3.24499249458313,1.286695122718811,0.7239416398282141,0.46715864539146423
1089-134691-0008,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134691/1089-134691-0008.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50HZ/4K/librispeech/noise/1089-134691-0008_inference.wav,THE UNCOUTH FACES PASSED HIM TWO BY TWO STAINED YELLOW OR RED OR LIVID BY THE SEA AND AS HE STROVE TO LOOK AT THEM WITH EASE AND INDIFFERENCE A FAINT STAIN OF PERSONAL SHAME AND COMMISERATION ROSE TO HIS OWN FACE, the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face, young cliff faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face,the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face,young cliff faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face,0.0,0.047619047619047616,0.047619047619047616,2.6912474632263184,1.1872588396072388,0.7020917058499928,0.502047598361969
1089-134686-0034,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0034.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50HZ/4K/librispeech/noise/1089-134686-0034_inference.wav,THE RECTOR PAUSED AND THEN SHAKING HIS CLASPED HANDS BEFORE HIM WENT ON," The rector paused and then, shaking his clasped hands before him, went on."," The rector paused and then, shaking his clasped hands before him, went on.",the rector paused and then shaking his clasped hands before him went on,the rector paused and then shaking his clasped hands before him went on,0.0,0.0,0.0,3.680497646331787,1.38175368309021,0.7880140472199868,0.6300690174102783
1089-134691-0006,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134691/1089-134691-0006.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50HZ/4K/librispeech/noise/1089-134691-0006_inference.wav,THE PRIDE OF THAT DIM IMAGE BROUGHT BACK TO HIS MIND THE DIGNITY OF THE OFFICE HE HAD REFUSED, The pride of that dim image brought back to his mind the dignity of the office he had refused., The pride of that Tim image brought back to his mind the dignity of the office he had refused.,the pride of that dim image brought back to his mind the dignity of the office he had refused,the pride of that tim image brought back to his mind the dignity of the office he had refused,0.0,0.05263157894736842,0.05263157894736842,3.8231911659240723,1.247636079788208,0.7954203172000086,0.6511968970298767
1089-134686-0021,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0021.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50HZ/4K/librispeech/noise/1089-134686-0021_inference.wav,IF A LAYMAN IN GIVING BAPTISM POUR THE WATER BEFORE SAYING THE WORDS IS THE CHILD BAPTIZED," If a layman, in giving baptism, pour the water before saying the words, is the child baptized?"," that the layman, in giving baptism for the water before saying the word, is the child baptized.",if a layman in giving baptism pour the water before saying the words is the child baptized,that the layman in giving baptism for the water before saying the word is the child baptized,0.0,0.23529411764705882,0.23529411764705882,3.3040711879730225,1.2814228534698486,0.6660879714632861,0.5501645803451538
