file_name,original_path,inference_path,ground_truth,original_transcript_raw,original_transcript,inference_transcript_raw,inference_transcript,original_cer,inference_cer,dcer,utmos,pesq,stoi
common_voice_zh-TW_30162459,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_30162459.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_recon/common_voice_zh-TW_30162459_inference.wav,高雄市公车五甲干线,高雄市公車五甲幹線,高雄市公车五甲干线,高手是風車運輾分線,高手是风车运辗分线,0.0,0.6666666666666666,0.6666666666666666,3.241133689880371,1.200515866279602,0.6382309681842826
common_voice_zh-TW_24477793,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24477793.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_recon/common_voice_zh-TW_24477793_inference.wav,肉！很多肉！,"肉,很多肉。",肉很多肉,"六,很多肉。",六很多肉,0.0,0.25,0.25,2.8731560707092285,1.237339735031128,0.5837176432208318
common_voice_zh-TW_24478020,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24478020.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_recon/common_voice_zh-TW_24478020_inference.wav,大家爱转传,大家愛轉傳,大家爱转传,大家爱赞成,大家爱赞成,0.0,0.4,0.4,3.0017690658569336,1.37513530254364,0.6802090640551225
common_voice_zh-TW_25342071,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_25342071.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_recon/common_voice_zh-TW_25342071_inference.wav,结果很平和,结果很平和,结果很平和,結果很天行,結果很天行,0.0,0.6,0.6,3.303253650665283,1.4513916969299316,0.371582372667219
common_voice_zh-TW_20748925,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_20748925.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_recon/common_voice_zh-TW_20748925_inference.wav,英文数字请尽量转为中文,英文数字请尽量转为中文,英文数字请尽量转为中文,英文数字请尽量转为中文,英文数字请尽量转为中文,0.0,0.0,0.0,3.352529287338257,1.5324974060058594,0.6609751925047794
common_voice_zh-TW_21308865,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_21308865.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_recon/common_voice_zh-TW_21308865_inference.wav,我们需要更多的废文和聊天内容,我们需要更多的绯闻和聊天内容,我们需要更多的绯闻和聊天内容,我们需要更多的绯闻和聊天内容。,我们需要更多的绯闻和聊天内容,0.1428571428571428,0.1428571428571428,0.0,4.140575885772705,1.442143797874451,0.6824933789294576
common_voice_zh-TW_22787705,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22787705.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_recon/common_voice_zh-TW_22787705_inference.wav,目前先将满意度的部分,目前先将满意度的部分,目前先将满意度的部分,木材全家每一度的复分,木材全家每一度的复分,0.0,0.7,0.7,3.2776741981506348,1.640049695968628,0.4779773890802348
common_voice_zh-TW_19601564,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19601564.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_recon/common_voice_zh-TW_19601564_inference.wav,维基百科现在放的人类身高,为几百颗现在放的人类升高,为几百颗现在放的人类升高,YT本科生在放的人类什么高?,本科生在放的人类什么高,0.3333333333333333,0.5,0.1666666666666666,3.104759693145752,1.151741862297058,0.6800047200551455
common_voice_zh-TW_22288212,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22288212.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_recon/common_voice_zh-TW_22288212_inference.wav,让女人的家人满意,让女人的家人满意,让女人的家人满意,让女人的家人满步,让女人的家人满步,0.0,0.125,0.125,3.332977056503296,1.4300581216812134,0.6945354382275865
common_voice_zh-TW_22771206,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22771206.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_recon/common_voice_zh-TW_22771206_inference.wav,要改的事太多了，那就改天吧,"要改的事太多了,那就改天吧。",要改的事太多了那就改天吧,要改的是太多了那就改Kimbap,要改的是太多了那就改,0.0,0.25,0.25,4.035036087036133,1.610305905342102,0.7574997199386172
