file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,utmos,pesq,stoi,speaker_similarity
common_voice_zh-TW_19485265,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19485265.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/noise/common_voice_zh-TW_19485265_inference.wav,大家都以为自己才是对的,大家都以为自己才是对的,但要多以維持一切之不得,大家都以为自己才是对的,但要多以维持一切之不得,2.933652639389038,1.1927464008331299,0.6481448997513376,0.23672889173030853
common_voice_zh-TW_19485305,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19485305.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/noise/common_voice_zh-TW_19485305_inference.wav,坚持理念，逐渐站稳脚步,堅持理念逐漸站穩腳步,近世的念人逐渐造人造不悟,坚持理念逐渐站稳脚步,近世的念人逐渐造人造不悟,3.707547426223755,1.1371058225631714,0.6524886302834091,0.2468286156654358
common_voice_zh-TW_19485275,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19485275.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/noise/common_voice_zh-TW_19485275_inference.wav,更蕴含极高的商业价值,更蘊含極高的商業價值,跟著她們走到大廈,更蕴含极高的商业价值,跟著她们走到大厦,3.2708003520965576,1.0727028846740723,0.5596265689631884,0.020559167489409447
common_voice_zh-TW_19485323,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19485323.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/noise/common_voice_zh-TW_19485323_inference.wav,看到很废的文章的时候,看到很废的文章的时候,Hendel hem Vedo und Anstervoll,看到很废的文章的时候,hendelhemvedoundanstervoll,3.371734619140625,1.097264289855957,0.6862818957733047,0.3821353316307068
common_voice_zh-TW_19485322,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19485322.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/noise/common_voice_zh-TW_19485322_inference.wav,指定建筑线之现有巷道,指定建筑线之线有相当,是天天呼圣的圣恩上道,指定建筑线之线有相当,是天天呼圣的圣恩上道,3.4150431156158447,1.0747963190078735,0.5556716380655958,0.1954347938299179
common_voice_zh-TW_19485273,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19485273.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/noise/common_voice_zh-TW_19485273_inference.wav,这一百万花不完，今晚不准回家,這一百萬花不完 今晚不准回家,這也就是我們今天要來講的,这一百万花不完今晚不准回家,这也就是我们今天要来讲的,2.81166934967041,1.1269221305847168,0.6166881477803174,0.22339531779289246
common_voice_zh-TW_19485300,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19485300.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/noise/common_voice_zh-TW_19485300_inference.wav,集中力量，以维持国际和平及安全,集中力量以维持国际和平及安全,其中力量已不及二經子言全,集中力量以维持国际和平及安全,其中力量已不及二经子言全,2.785310983657837,1.0781700611114502,0.5764752844792225,0.19060760736465454
common_voice_zh-TW_18374965,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_18374965.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/noise/common_voice_zh-TW_18374965_inference.wav,其实我们都有做了,其實我們都有做了,其實我們都會有辦法,其实我们都有做了,其实我们都会有办法,3.324934959411621,1.1660343408584595,0.417629104286524,0.21203216910362244
common_voice_zh-TW_18374909,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_18374909.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/noise/common_voice_zh-TW_18374909_inference.wav,在艺术评价上颇高,在一速平价上火高,這就是我平常常常做的事,在一速平价上火高,这就是我平常常常做的事,3.023871898651123,1.2540580034255981,0.4162277584392749,0.1207907572388649
common_voice_zh-TW_18374826,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_18374826.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/noise/common_voice_zh-TW_18374826_inference.wav,都已完成沟通协调,都已完成溝通協調,都已完成火烹泉药,都已完成沟通协调,都已完成火烹泉药,2.74769926071167,1.172868251800537,0.5039203981309844,0.24615640938282013
