file_name,segment_length,num_segments,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,utmos,pesq,stoi,original_cer,inference_cer,dcer
common_voice_zh-TW_17382475,2.0s,2,,,我总想著前面也许会有更好的,,,,,,,,,,
common_voice_zh-TW_17382798,2.0s,2,,,听到这消息,,,,,,,,,,
common_voice_zh-TW_17382801,2.0s,2,,,她心里隐隐觉得不妙,,,,,,,,,,
common_voice_zh-TW_17382870,2.0s,3,,,证明文件应经审查并妥善保存,,,,,,,,,,
common_voice_zh-TW_17382928,2.0s,2,,,她开始想搬回乡下住,,,,,,,,,,
common_voice_zh-TW_17383004,2.0s,3,,,赌场讨债更加凶狠、更加恶劣,,,,,,,,,,
common_voice_zh-TW_17383201,2.0s,2,,,经过接近一年的治疗,,,,,,,,,,
common_voice_zh-TW_17388304,2.0s,2,,,你本来就是他的猎物,,,,,,,,,,
common_voice_zh-TW_17388528,2.0s,2,,,来回一千两百日币,,,,,,,,,,
common_voice_zh-TW_17388792,2.0s,3,,,一路上他不再出声,,,,,,,,,,
common_voice_zh-TW_17389889,2.0s,3,,,咖啡好喝，点心也很好吃,,,,,,,,,,
common_voice_zh-TW_17389904,2.0s,2,,,四个小孩外出买东西,,,,,,,,,,
common_voice_zh-TW_17397697,2.0s,3,,,我开始无法相信自己,,,,,,,,,,
common_voice_zh-TW_17397784,2.0s,2,,,苹果甜又便宜,,,,,,,,,,
common_voice_zh-TW_17397840,2.0s,2,,,到了山顶超冷,,,,,,,,,,
common_voice_zh-TW_17405054,2.0s,2,,,你曾说过害怕回到当初,,,,,,,,,,
common_voice_zh-TW_17405107,2.0s,2,,,这是我十年来的研究成果,,,,,,,,,,
common_voice_zh-TW_17407776,2.0s,3,,,持续针对危险建筑进行盘点,,,,,,,,,,
common_voice_zh-TW_17407794,2.0s,2,,,让我坐在妳身旁，肩并著肩,,,,,,,,,,
common_voice_zh-TW_17407811,2.0s,2,,,新笔电看起来性能也没差很多,,,,,,,,,,
common_voice_zh-TW_17407847,2.0s,2,,,在机场找了一段时间,,,,,,,,,,
common_voice_zh-TW_17407892,2.0s,2,,,像在黑暗中看见一线光芒,,,,,,,,,,
common_voice_zh-TW_17408020,2.0s,3,,,从小学开始养成写日记的习惯,,,,,,,,,,
common_voice_zh-TW_17415027,2.0s,2,,,清理用了十几年的除湿机,,,,,,,,,,
common_voice_zh-TW_17417429,2.0s,3,,,无印良品数位影印输出中心,,,,,,,,,,
common_voice_zh-TW_17419500,2.0s,2,,,妳脸上幸福的表情,,,,,,,,,,
common_voice_zh-TW_17420675,2.0s,3,,,于延平北路七段到九段打造林荫大道,,,,,,,,,,
common_voice_zh-TW_17420703,2.0s,2,,,也不想想家里的人还没吃饭,,,,,,,,,,
common_voice_zh-TW_17420734,2.0s,2,,,大家能充分利用时间,,,,,,,,,,
common_voice_zh-TW_17421058,2.0s,2,,,一家搬往台北芦洲,,,,,,,,,,
common_voice_zh-TW_17421089,2.0s,2,,,把作生意用的准备金赔光了,,,,,,,,,,
common_voice_zh-TW_17421111,2.0s,3,,,台北数位产业园区于六月底正式营运,,,,,,,,,,
common_voice_zh-TW_17422988,2.0s,2,,,基隆市的七堵、五堵,,,,,,,,,,
common_voice_zh-TW_17426366,2.0s,3,,,在能力范围内,,,,,,,,,,
common_voice_zh-TW_17426374,2.0s,2,,,优先进行补强工程,,,,,,,,,,
common_voice_zh-TW_17426383,2.0s,2,,,说不出话来,,,,,,,,,,
common_voice_zh-TW_17426417,2.0s,3,,,就是坚持要合法安全,,,,,,,,,,
common_voice_zh-TW_17426494,2.0s,3,,,再这样下去妳身体会弄坏的,,,,,,,,,,
common_voice_zh-TW_17426501,2.0s,2,,,他不时去摸摸她的头,,,,,,,,,,
common_voice_zh-TW_17426516,2.0s,2,,,还有那种闲适的心情,,,,,,,,,,
common_voice_zh-TW_17428685,2.0s,2,,,号召高三毕业生现场面试,,,,,,,,,,
common_voice_zh-TW_17431039,2.0s,2,,,心里雀跃无比,,,,,,,,,,
common_voice_zh-TW_17437247,2.0s,2,,,那边卖的苹果真的好吃,,,,,,,,,,
common_voice_zh-TW_17437277,2.0s,2,,,农历春节在两岸都是最重要的节庆,,,,,,,,,,
common_voice_zh-TW_17437279,2.0s,2,,,成功在多处复育萤火虫,,,,,,,,,,
common_voice_zh-TW_17437319,2.0s,2,,,最近刚好有点忙,,,,,,,,,,
common_voice_zh-TW_17440942,2.0s,2,,,他们心疼小儿子居无定所,,,,,,,,,,
common_voice_zh-TW_17458520,2.0s,3,,,那间工厂因营运不善要裁员,,,,,,,,,,
common_voice_zh-TW_17460960,2.0s,2,,,让他们过著苦日子,,,,,,,,,,
common_voice_zh-TW_17460981,2.0s,2,,,努力寻找正职机会,,,,,,,,,,
common_voice_zh-TW_17460993,2.0s,3,,,都对这幅画留下了深刻的印象,,,,,,,,,,
common_voice_zh-TW_17460995,2.0s,2,,,阳光与月光交替时分,,,,,,,,,,
common_voice_zh-TW_17460998,2.0s,2,,,我们会有更坚强的实力,,,,,,,,,,
common_voice_zh-TW_17461010,2.0s,3,,,中央目的事业主管机关查核,,,,,,,,,,
common_voice_zh-TW_17476386,2.0s,2,,,骗老师这题我会了,,,,,,,,,,
common_voice_zh-TW_17477259,2.0s,2,,,从除夕到元宵节,,,,,,,,,,
common_voice_zh-TW_17484090,2.0s,2,,,步伐踉跄险些跌倒在地,,,,,,,,,,
common_voice_zh-TW_17507947,2.0s,3,,,严重的灾情以及人命的伤亡,,,,,,,,,,
common_voice_zh-TW_17507982,2.0s,2,,,让相对弱势的家庭有屋可住,,,,,,,,,,
common_voice_zh-TW_17507988,2.0s,3,,,桃园新竹与宜兰假日哪里好玩,,,,,,,,,,
common_voice_zh-TW_17508017,2.0s,2,,,世界上第二有公信力的,,,,,,,,,,
common_voice_zh-TW_17508101,2.0s,2,,,看她会不会像女儿小时候一样,,,,,,,,,,
common_voice_zh-TW_17532408,2.0s,2,,,惯老板通通现形啦,,,,,,,,,,
common_voice_zh-TW_17535417,2.0s,2,,,希望你能改变心意,,,,,,,,,,
common_voice_zh-TW_17552650,2.0s,2,,,东华书局股份有限公司,,,,,,,,,,
common_voice_zh-TW_17580086,2.0s,2,,,每个人都对其他人有贡献,,,,,,,,,,
common_voice_zh-TW_17582114,2.0s,2,,,肯定生态复育的成果,,,,,,,,,,
common_voice_zh-TW_17582117,2.0s,2,,,分秒不空过,,,,,,,,,,
common_voice_zh-TW_17582138,2.0s,2,,,从历史文本回顾,,,,,,,,,,
common_voice_zh-TW_17582170,2.0s,2,,,盐月桃甫来台,,,,,,,,,,
common_voice_zh-TW_17582961,2.0s,2,,,一开始以为来了,,,,,,,,,,
common_voice_zh-TW_17582973,2.0s,3,,,于上班时间亲洽办公室,,,,,,,,,,
common_voice_zh-TW_17583006,2.0s,2,,,都有这种长期计划,,,,,,,,,,
common_voice_zh-TW_17583009,2.0s,2,,,病情每下愈况,,,,,,,,,,
common_voice_zh-TW_17583027,2.0s,2,,,想找到休息的地点,,,,,,,,,,
common_voice_zh-TW_17583028,2.0s,2,,,那个粗重的工作,,,,,,,,,,
common_voice_zh-TW_17583029,2.0s,2,,,她在烧完饭后回到房间,,,,,,,,,,
common_voice_zh-TW_17583034,2.0s,2,,,是极度庞大的数字,,,,,,,,,,
common_voice_zh-TW_17585466,2.0s,2,,,要懂得怎么隐藏身份,,,,,,,,,,
common_voice_zh-TW_17585488,2.0s,2,,,不能让你进来,,,,,,,,,,
common_voice_zh-TW_17587437,2.0s,2,,,一杯才台币六十五,,,,,,,,,,
common_voice_zh-TW_17587452,2.0s,3,,,讨厌我给她取的名字,,,,,,,,,,
common_voice_zh-TW_17619779,2.0s,2,,,能帮助自己的办法,,,,,,,,,,
common_voice_zh-TW_17626464,2.0s,2,,,我们一起享用,,,,,,,,,,
common_voice_zh-TW_17626483,2.0s,2,,,因为我也吃不下了,,,,,,,,,,
common_voice_zh-TW_17626495,2.0s,2,,,不确定的就等著缴钱,,,,,,,,,,
common_voice_zh-TW_17626504,2.0s,2,,,设计放在身边,,,,,,,,,,
common_voice_zh-TW_17626506,2.0s,2,,,在不经意间,,,,,,,,,,
common_voice_zh-TW_17626518,2.0s,3,,,在沙漠之中的甘泉也被饮尽,,,,,,,,,,
common_voice_zh-TW_17626519,2.0s,2,,,没有讨好的构图与内容,,,,,,,,,,
common_voice_zh-TW_17626536,2.0s,2,,,山路上开始下雪,,,,,,,,,,
common_voice_zh-TW_17636483,2.0s,2,,,要去自己该去的地方,,,,,,,,,,
common_voice_zh-TW_17636490,2.0s,2,,,而承包厂商倒闭,,,,,,,,,,
common_voice_zh-TW_17652585,2.0s,3,,,廖继春出生于台中丰原,,,,,,,,,,
common_voice_zh-TW_17687606,2.0s,2,,,公益平台董事长严长寿,,,,,,,,,,
common_voice_zh-TW_17723116,2.0s,3,,,有著褐色打底的古典技巧,,,,,,,,,,
common_voice_zh-TW_17723118,2.0s,2,,,你是我们的传声筒,,,,,,,,,,
common_voice_zh-TW_17760574,2.0s,3,,,我们前几天应该会去一趟剑桥,,,,,,,,,,
common_voice_zh-TW_17779414,2.0s,3,,,吸引国内外青年实现梦想,,,,,,,,,,
common_voice_zh-TW_17784082,2.0s,2,,,宣告了水运时代的结束,,,,,,,,,,
common_voice_zh-TW_17805271,2.0s,2,,,分享经验勉励青年,,,,,,,,,,
common_voice_zh-TW_17806418,2.0s,2,,,她把在睡觉的大女儿叫醒,,,,,,,,,,
common_voice_zh-TW_17809456,2.0s,3,,,差点掉下去做亡魂,,,,,,,,,,
common_voice_zh-TW_17809465,2.0s,2,,,开启新创团队不同之视野,,,,,,,,,,
common_voice_zh-TW_17809473,2.0s,2,,,好多年前离家出走了,,,,,,,,,,
common_voice_zh-TW_17879958,2.0s,2,,,市场撤出后散发恶臭,,,,,,,,,,
common_voice_zh-TW_17879965,2.0s,2,,,实际从事农业生产的人,,,,,,,,,,
common_voice_zh-TW_17972342,2.0s,3,,,更晚可能会有更大的雨势,,,,,,,,,,
common_voice_zh-TW_18009428,2.0s,2,,,算半个大人,,,,,,,,,,
common_voice_zh-TW_18009435,2.0s,2,,,很怀念的一首歌曲,,,,,,,,,,
common_voice_zh-TW_18009437,2.0s,2,,,提供各种资源,,,,,,,,,,
common_voice_zh-TW_18009438,2.0s,2,,,他决定要做生意,,,,,,,,,,
common_voice_zh-TW_18009472,2.0s,3,,,遇到客户跑来散步,,,,,,,,,,
common_voice_zh-TW_18009489,2.0s,2,,,食物的问题怎么办？,,,,,,,,,,
common_voice_zh-TW_18009495,2.0s,2,,,这是我们成功的秘密,,,,,,,,,,
common_voice_zh-TW_18009564,2.0s,3,,,把十四岁的少年演绎的很好,,,,,,,,,,
common_voice_zh-TW_18012365,2.0s,2,,,我们只有一次机会,,,,,,,,,,
common_voice_zh-TW_18066119,2.0s,2,,,他领悟力与平衡感很好,,,,,,,,,,
common_voice_zh-TW_18123707,2.0s,2,,,以自己女儿们为模特儿,,,,,,,,,,
common_voice_zh-TW_18123720,2.0s,2,,,目前课表还找不到上课资料,,,,,,,,,,
common_voice_zh-TW_18123774,2.0s,2,,,新闻总是大吹特吹,,,,,,,,,,
common_voice_zh-TW_18123855,2.0s,2,,,表弟也搬到芦洲与他们同住,,,,,,,,,,
common_voice_zh-TW_18123935,2.0s,2,,,用坚强的目光望向他,,,,,,,,,,
common_voice_zh-TW_18124057,2.0s,2,,,几位女士在树阴下闲谈,,,,,,,,,,
common_voice_zh-TW_18262656,2.0s,2,,,令人无法逃脱,,,,,,,,,,
common_voice_zh-TW_18262659,2.0s,2,,,过去多数家庭,,,,,,,,,,
common_voice_zh-TW_18262662,2.0s,3,,,我这里没有多余的床,,,,,,,,,,
common_voice_zh-TW_18262667,2.0s,2,,,在二号出口,,,,,,,,,,
common_voice_zh-TW_18262673,2.0s,2,,,天经地义不是吗？,,,,,,,,,,
common_voice_zh-TW_18262676,2.0s,2,,,福寿街优质职缺,,,,,,,,,,
common_voice_zh-TW_18262689,2.0s,2,,,他大步走著,,,,,,,,,,
common_voice_zh-TW_18262707,2.0s,2,,,创办人将分享,,,,,,,,,,
common_voice_zh-TW_18262714,2.0s,3,,,自己寻找的是跳脱的可能,,,,,,,,,,
common_voice_zh-TW_18262728,2.0s,2,,,很多事情,,,,,,,,,,
common_voice_zh-TW_18262738,2.0s,2,,,邀集相关专家学者,,,,,,,,,,
common_voice_zh-TW_18262740,2.0s,3,,,吸引人才并留住人才,,,,,,,,,,
common_voice_zh-TW_18262747,2.0s,2,,,提早布局放眼未来,,,,,,,,,,
common_voice_zh-TW_18262762,2.0s,2,,,苗栗高等学校,,,,,,,,,,
common_voice_zh-TW_18262771,2.0s,2,,,总统就政策急转弯,,,,,,,,,,
common_voice_zh-TW_18374682,2.0s,2,,,还没有一个完整的雏型,,,,,,,,,,
common_voice_zh-TW_18374700,2.0s,3,,,可以看出明显转变的痕迹,,,,,,,,,,
common_voice_zh-TW_18374717,2.0s,2,,,不知道多久以前的事情了,,,,,,,,,,
common_voice_zh-TW_18374770,2.0s,3,,,杨三郎出生于台北县永和,,,,,,,,,,
common_voice_zh-TW_18374826,2.0s,2,,,都已完成沟通协调,,,,,,,,,,
common_voice_zh-TW_18374835,2.0s,3,,,餐桌上有满满一大锅肉燥,,,,,,,,,,
common_voice_zh-TW_18374909,2.0s,2,,,在艺术评价上颇高,,,,,,,,,,
common_voice_zh-TW_18374964,2.0s,2,,,增加了画面许多动感,,,,,,,,,,
common_voice_zh-TW_18374965,2.0s,2,,,其实我们都有做了,,,,,,,,,,
common_voice_zh-TW_18374966,2.0s,2,,,社游是乔最多人的时间,,,,,,,,,,
common_voice_zh-TW_18375007,2.0s,2,,,一起来大啖语音应用,,,,,,,,,,
