speaker_id,file1,file2,similarity
61,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70968/61-70968-0010.flac,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70970/61-70970-0029.flac,0.8125244711135446
61,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70968/61-70968-0011.flac,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70970/61-70970-0030.flac,0.688599705171973
61,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70968/61-70968-0040.flac,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70968/61-70968-0024.flac,0.7644588528549385
61,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70970/61-70970-0012.flac,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70970/61-70970-0027.flac,0.719485846197258
61,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70968/61-70968-0039.flac,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70970/61-70970-0027.flac,0.7026445714994337
61,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70968/61-70968-0055.flac,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70968/61-70968-0020.flac,0.7289669236591537
61,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70968/61-70968-0048.flac,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70970/61-70970-0026.flac,0.6334462066865121
61,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70968/61-70968-0050.flac,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70968/61-70968-0000.flac,0.7445117532769301
61,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70970/61-70970-0038.flac,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70970/61-70970-0033.flac,0.7497399352432855
61,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70968/61-70968-0011.flac,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70968/61-70968-0053.flac,0.7981073191606218
61,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70968/61-70968-0009.flac,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70970/61-70970-0009.flac,0.4786167487682267
61,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70970/61-70970-0012.flac,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70970/61-70970-0013.flac,0.7164359431399823
61,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70968/61-70968-0026.flac,/mnt/Internal/ASR/./librispeech/LibriSpeech/test-clean/61/70970/61-70970-0040.flac,0.8247186153226327
