file_name,original_path,inference_path,ground_truth,original_transcript_raw,original_transcript,inference_transcript_raw,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi
61-70968-0013,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0013.flac,/homes/jiasin/focalcodec/recons_50Hz/all_outputs_inference/61-70968-0013_inference.wav,BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CAPLESS AND TERRIFIED," Before them fled the stroller and his three sons, capless and terrified.",BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CAPLESS AND TERRIFIED," Before them fled the stroller and his three sons, capless and terrified.",BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CAPLESS AND TERRIFIED,0.0,0.0,0.0,4.164731979370117,1.3720288276672363,0.872628318983062
61-70968-0040,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0040.flac,/homes/jiasin/focalcodec/recons_50Hz/all_outputs_inference/61-70968-0040_inference.wav,RIGHT WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED ROBIN," ""'Write willingly, for between us we have won the battle,' answered Robin.",WRITE WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED ROBIN," ""'Write willingly, for between us we have won the battle,' answered Robin.",WRITE WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED ROBIN,0.3333333333333333,0.3333333333333333,0.0,4.08232307434082,1.3071515560150146,0.8476741351311785
61-70968-0015,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0015.flac,/homes/jiasin/focalcodec/recons_50Hz/all_outputs_inference/61-70968-0015_inference.wav,NAY WE REFUSED THEIR REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER," Nay, we refused their request most politely, most noble, said the little stroller.",NAY WE REFUSED THEIR REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER," Nay, we refused their request most politely, most noble, said the little stroller.",NAY WE REFUSED THEIR REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER,0.0,0.0,0.0,4.109463214874268,1.234225511550903,0.8311586261382007
61-70968-0028,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0028.flac,/homes/jiasin/focalcodec/recons_50Hz/all_outputs_inference/61-70968-0028_inference.wav,THE HEAD AND CHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET," The head and chief of the riot, the Nottingham apprentice, with clenched fists, threatened Montfichet.",THE HEAD AND CHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET," The head-in-chief of the riot, the Nottingham Apprentice, with clenched fists, threatened Montfichet.",THE HEADINCHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET,0.0,0.2666666666666666,0.2666666666666666,4.237166404724121,1.401876449584961,0.8616502575917359
61-70968-0054,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0054.flac,/homes/jiasin/focalcodec/recons_50Hz/all_outputs_inference/61-70968-0054_inference.wav,MISTRESS FITZOOTH HAD BEEN CARRIED OFF BY THE SHERIFF'S DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN ALONE HAD THE CARE OF MONTFICHET, mistress fitzuth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin alone had the care of montfichet,MISTRESS FITZUTH HAD BEEN CARRIED OFF BY THE SHERIFFS DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN ALONE HAD THE CARE OF MONTFICHET," Mistress Fitzhuth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house, so that Robin alone had the care of Montvichet.",MISTRESS FITZHUTH HAD BEEN CARRIED OFF BY THE SHERIFFS DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN ALONE HAD THE CARE OF MONTVICHET,0.0666666666666666,0.1,0.0333333333333333,3.883890628814697,1.3782848119735718,0.8692043949011521
61-70968-0011,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0011.flac,/homes/jiasin/focalcodec/recons_50Hz/all_outputs_inference/61-70968-0011_inference.wav,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT," He gave way to the others very readily, and retreated unperceived by the squire and mistress Fitzuth to the rear of the tent.",HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZUTH TO THE REAR OF THE TENT," He gave way to the others very readily, and retreated unperceived by the squire and mistress Fitzhuth to the rear of the tent.",HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZHUTH TO THE REAR OF THE TENT,0.0869565217391304,0.0869565217391304,0.0,3.948944091796875,1.316991686820984,0.8629602688854917
61-70968-0046,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0046.flac,/homes/jiasin/focalcodec/recons_50Hz/all_outputs_inference/61-70968-0046_inference.wav,NOTTINGHAM CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED," Nottingham Castle was reached, and admittance was demanded.",NOTTINGHAM CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED," Nottingham Castle was reached, and admittance was demanded.",NOTTINGHAM CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED,0.0,0.0,0.0,4.1517534255981445,1.505176067352295,0.89189635614025
61-70968-0050,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0050.flac,/homes/jiasin/focalcodec/recons_50Hz/all_outputs_inference/61-70968-0050_inference.wav,HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS TIGHTEN UPON HIS ARM," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm.",HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS TIGHTEN UPON HIS ARM," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm.",HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS TIGHTEN UPON HIS ARM,0.0,0.0,0.0,4.211643695831299,1.4239826202392578,0.8590066771791619
61-70968-0014,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0014.flac,/homes/jiasin/focalcodec/recons_50Hz/all_outputs_inference/61-70968-0014_inference.wav,WHAT IS THE TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLEW TWICE ON A SILVER WHISTLE WHICH HUNG AT HIS BELT," ""'What is the tumult and rioting?' cried out the squire authoritatively, and he blew twice on the silver whistle which hung at his belt.",WHAT IS THE TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLEW TWICE ON THE SILVER WHISTLE WHICH HUNG AT HIS BELT," ""'What is that tumult and rioting?' cried out the squire authoritatively, and he blew twice on the silver whistle which hung at his belt.",WHAT IS THAT TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLEW TWICE ON THE SILVER WHISTLE WHICH HUNG AT HIS BELT,0.125,0.2083333333333333,0.0833333333333333,3.930955410003662,1.4961239099502563,0.8624427835315187
61-70968-0019,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0019.flac,/homes/jiasin/focalcodec/recons_50Hz/all_outputs_inference/61-70968-0019_inference.wav,IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AND HE TURNED UPON THE CROWD," It is enough, said George Gamewell sharply, as he turned upon the crowd.",IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AS HE TURNED UPON THE CROWD," It is enough, said George Gamewell sharply, as he turned upon the crowd.",IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AS HE TURNED UPON THE CROWD,0.1538461538461538,0.1538461538461538,0.0,3.8634114265441895,1.2600141763687134,0.855845159101395
