file_name,file_path,duration,transcription,speaker_id,asr_result,cer,MOS_Quality,MOS_Naturalness,TER
447_1804052005_91865_264.32_267.84,./mdcc/dataset/audio/447_1804052005_91865_264.32_267.84.wav,3.519999999999982,要做到呢四個 one 需要修養,447,要做到這四個One需要修養,0.2666666666666666,4.897396087646484,4.285465717315674,0.1
447_1711171043_77889_113.58_115.44,./mdcc/dataset/audio/447_1711171043_77889_113.58_115.44.wav,1.86,今日把示君,447,今日把士君,0.2,4.897538185119629,3.974032878875733,0.0
447_1709011939_41525_903.12_906.04,./mdcc/dataset/audio/447_1709011939_41525_903.12_906.04.wav,2.919999999999959,敘事者都係魔鬼自己,447,罪事者都是魔鬼自己,0.2222222222222222,4.723472595214844,4.1017374992370605,0.0
447_1709011939_42418_481.96_483.76,./mdcc/dataset/audio/447_1709011939_42418_481.96_483.76.wav,1.8000000000000114,即使係撒旦,447,即使是撒旦,0.2,4.505804538726807,4.241138935089111,0.0
447_1711171043_43240_338.68_342.53,./mdcc/dataset/audio/447_1711171043_43240_338.68_342.53.wav,3.849999999999966,一點雄心在攜手並肩上,447,"一點雄心在,攜手並肩上,",0.2,4.670811653137207,4.078579902648926,0.0
447_1709011939_89895_981.38_983.32,./mdcc/dataset/audio/447_1709011939_89895_981.38_983.32.wav,1.9400000000000543,B 尷尬到死,447,B. 尷尬到死,0.1666666666666666,4.50039005279541,4.188986301422119,0.0
447_1707171718_57922_185.96_189.28,./mdcc/dataset/audio/447_1707171718_57922_185.96_189.28.wav,3.319999999999993,好多年前喺新界鄉村居住,447,很多年前在新界鄉村居住,0.1818181818181818,4.780828475952148,4.121062755584717,0.0909090909090909
447_1709011939_75955_1255.8_1257.28,./mdcc/dataset/audio/447_1709011939_75955_1255.8_1257.28.wav,1.4800000000000182,再加貼段落,447,再加貼段落。,0.2,4.597740650177002,4.085341930389404,0.0
447_1707101455_23945_204.0_207.18,./mdcc/dataset/audio/447_1707101455_23945_204.0_207.18.wav,3.180000000000007,有啲說話知道彼此分歧,447,有些說話 知道彼此分歧,0.2,4.577998161315918,4.085411071777344,0.0
447_1707171718_21090_568.42_571.26,./mdcc/dataset/audio/447_1707171718_21090_568.42_571.26.wav,2.840000000000032,其實我對 Y 所知無幾,447,其實我對Y所知無幾,0.1818181818181818,4.7709808349609375,3.8896384239196777,0.0
447_1707171718_26643_92.78_96.46,./mdcc/dataset/audio/447_1707171718_26643_92.78_96.46.wav,3.6799999999999926,一個另有高就當然要走啦,447,"一個另有高就,當然要走啦!",0.1818181818181818,4.77703857421875,3.849644184112549,0.0
447_1707171718_26643_429.56_431.68,./mdcc/dataset/audio/447_1707171718_26643_429.56_431.68.wav,2.1200000000000045,而且係大律師,447,而且是大律師,0.1666666666666666,4.457282066345215,4.111086368560791,0.0
447_1707171718_21090_435.64_437.66,./mdcc/dataset/audio/447_1707171718_21090_435.64_437.66.wav,2.0200000000000387,What a beautiful foot,447,What a beautiful fruit!,0.1904761904761904,4.520309448242188,4.061313152313232,0.0
447_1709011939_95079_837.78_841.22,./mdcc/dataset/audio/447_1709011939_95079_837.78_841.22.wav,3.4400000000000546,八百字當然可以再寫啦,447,"八百字,當然可以再寫啦。",0.2,4.613498210906982,3.986860036849976,0.0
447_1708011255_35688_307.16_310.22,./mdcc/dataset/audio/447_1708011255_35688_307.16_310.22.wav,3.0600000000000023,只係向前面大概一指,447,"只是向前面大概一指,",0.2222222222222222,4.643713474273682,3.9820594787597656,0.0
447_1709011939_75955_790.1_791.78,./mdcc/dataset/audio/447_1709011939_75955_790.1_791.78.wav,1.67999999999995,到天上遨遊,447,到天上遨遊。,0.2,4.5276618003845215,4.05804443359375,0.0
447_1709011939_34540_713.8_716.56,./mdcc/dataset/audio/447_1709011939_34540_713.8_716.56.wav,2.759999999999991,保守有時捨棄有時,447,保守有時寫戲有時,0.25,4.638662815093994,3.996500015258789,0.0
447_1810221419_16686_645.1_648.36,./mdcc/dataset/audio/447_1810221419_16686_645.1_648.36.wav,3.259999999999991,媽媽打開嚟細睇原來係一張借據,447,媽媽打開來細看原來是一張借據,0.2142857142857142,4.752341270446777,4.015119552612305,0.0714285714285714
447_1707171718_99306_267.5_271.12,./mdcc/dataset/audio/447_1707171718_99306_267.5_271.12.wav,3.620000000000005,去到城市去旺角尖沙咀,447,去到城市 去旺角 沾沙咀,0.3,4.493844032287598,4.1812663078308105,0.0
447_1709011939_89895_913.94_916.68,./mdcc/dataset/audio/447_1709011939_89895_913.94_916.68.wav,2.7399999999998954,說話將 B 嚇得半死,447,說話將B嚇得半死,0.2,4.381544589996338,4.152396202087402,0.0
447_1708011255_35688_143.66_147.28,./mdcc/dataset/audio/447_1708011255_35688_143.66_147.28.wav,3.620000000000005,左邊右邊傾足三個小時,447,左邊 右邊 傾足三個小時,0.2,4.552584648132324,3.980657815933228,0.0
447_1707191853_85012_257.02_261.28,./mdcc/dataset/audio/447_1707191853_85012_257.02_261.28.wav,4.259999999999991,陳年事跡對小讀者卻是新聞同埋珍聞,447,陳年事跡對小讀者卻是新聞和真聞,0.1875,4.475735664367676,4.1757636070251465,0.0625
447_1708011255_78419_251.7_255.32,./mdcc/dataset/audio/447_1708011255_78419_251.7_255.32.wav,3.620000000000005,只有一個女孩始終凝神看聽,447,只有一個女孩 始終仍神漢聽,0.25,4.5184173583984375,4.064899444580078,0.0
447_1709011939_41525_912.7_914.84,./mdcc/dataset/audio/447_1709011939_41525_912.7_914.84.wav,2.1399999999999864,風水師詩人,447,風水師 詩人,0.2,4.282299041748047,4.214596748352051,0.0
447_1804052005_91865_235.48_237.22,./mdcc/dataset/audio/447_1804052005_91865_235.48_237.22.wav,1.740000000000009,第四係溫馨,447,第四是温馨,0.4,4.764266014099121,4.007867336273193,0.0
447_1709011939_34540_793.04_796.3,./mdcc/dataset/audio/447_1709011939_34540_793.04_796.3.wav,3.259999999999991,所貪所詐無非區區洪荒,447,"所貪所詐,無非區區洪荒。",0.2,4.803494453430176,3.732850790023804,0.0
