file_name,file_path,duration,transcription,speaker_id,asr_result,cer,MOS_Quality,MOS_Naturalness
BAC009S0764W0121,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0121.wav,4.2039375,甚至出现交易几乎停滞的情况,S0764,甚至出现交易几乎停滞的情况,0.0,2.253682851791382,1.9781019687652588
BAC009S0907W0322,./aishell/data_aishell/wav/test/S0907/BAC009S0907W0322.wav,4.77,以后将能够与周围环境交流,S0907,以后将能够与周围环境交流,0.0,2.3024661540985107,1.4893981218338013
BAC009S0907W0321,./aishell/data_aishell/wav/test/S0907/BAC009S0907W0321.wav,4.6689375,现在汽车与网络的联系越来越紧密,S0907,现在汽车与网络的联系越来越紧密,0.0,2.0774331092834477,1.4187911748886108
BAC009S0907W0320,./aishell/data_aishell/wav/test/S0907/BAC009S0907W0320.wav,3.442875,负责车辆网络安全问题,S0907,负责车辆网络安全问题,0.0,1.986433506011963,1.4522875547409058
BAC009S0907W0345,./aishell/data_aishell/wav/test/S0907/BAC009S0907W0345.wav,7.8100625,鄂美蝶继续将自己所学到的新搏击技能尽情展现,S0907,鄂美蝶继续将自己所学到的新搏击技能尽情展现,0.0,2.1105470657348637,1.6592657566070557
BAC009S0907W0373,./aishell/data_aishell/wav/test/S0907/BAC009S0907W0373.wav,6.349125,昆仑决广州站在广州天河体育中心成功打响,S0907,昆仑决广州站在广州天河体育中心成功打响,0.0,2.026535987854004,1.5596308708190918
BAC009S0907W0318,./aishell/data_aishell/wav/test/S0907/BAC009S0907W0318.wav,5.8100625,随着越来越多车企踊跃加入车联网浪潮中,S0907,随着越来越多车企踊跃加入车联网浪潮中,0.0,1.94299590587616,1.564700484275818
BAC009S0907W0346,./aishell/data_aishell/wav/test/S0907/BAC009S0907W0346.wav,5.0351875,在一连串的拳腿风暴过后,S0907,在一连串的拳腿风暴过后,0.0,2.1446921825408936,1.533613920211792
BAC009S0907W0350,./aishell/data_aishell/wav/test/S0907/BAC009S0907W0350.wav,3.410875,二零一五年四月十二,S0907,二零一五年四月十二,0.0,1.819751977920532,1.375359058380127
BAC009S0907W0380,./aishell/data_aishell/wav/test/S0907/BAC009S0907W0380.wav,3.5188125,令对手无奈放弃比赛,S0907,令对手无奈放弃比赛,0.0,2.3918604850769043,1.5054231882095337
BAC009S0907W0379,./aishell/data_aishell/wav/test/S0907/BAC009S0907W0379.wav,4.1699375,严重影响卡尔泽塔的实现,S0907,严重影响卡尔泽塔的实现,0.0,1.6657612323760986,1.5430867671966553
BAC009S0907W0378,./aishell/data_aishell/wav/test/S0907/BAC009S0907W0378.wav,3.441875,便将对手的眼部击伤,S0907,便将对手的眼部击伤,0.0,1.8914088010787964,1.5526357889175415
BAC009S0907W0375,./aishell/data_aishell/wav/test/S0907/BAC009S0907W0375.wav,4.7470625,决赛一如期待般精彩绝伦,S0907,决赛一如期待般精彩绝伦,0.0,1.914072871208191,1.7453863620758057
BAC009S0907W0374,./aishell/data_aishell/wav/test/S0907/BAC009S0907W0374.wav,6.379875,多国大神级搏击王者论剑昆仑武道之巅,S0907,多国大神级搏击王者论剑昆仑武道之巅,0.0,1.5115420818328855,1.5530399084091189
BAC009S0907W0275,./aishell/data_aishell/wav/test/S0907/BAC009S0907W0275.wav,5.5810625,目前这项服务已经达到了一个里程碑,S0907,目前这项服务已经达到了一个里程碑,0.0,2.179487466812134,1.5540024042129517
BAC009S0907W0273,./aishell/data_aishell/wav/test/S0907/BAC009S0907W0273.wav,4.2170625,但是在欧洲受欢迎度较低,S0907,但是在欧洲受欢迎度较低,0.0,2.220773696899414,1.629751205444336
BAC009S0907W0281,./aishell/data_aishell/wav/test/S0907/BAC009S0907W0281.wav,5.6049375,想要成功的零售商将考虑消费者的利益,S0907,想要成功的零售商将考虑消费者的利益,0.0,1.9248346090316768,1.5255212783813477
