file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,utmos,pesq,stoi,speaker_similarity,original_cer,inference_cer,dcer
common_voice_zh-TW_26659271,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_26659271.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_26659271_inference.wav,两湖盆地是长江流域的心脏要地,兩湖盆地是長江流域的心臟藥地,汪湖本地是川江流域的深藏要地,两湖盆地是长江流域的心脏药地,汪湖本地是川江流域的深藏要地,2.979524850845337,1.223914623260498,0.6410480068016574,0.7811280488967896,0.07142857142857142,0.35714285714285715,0.2857142857142857
common_voice_zh-TW_26845552,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_26845552.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_26845552_inference.wav,选举公报的格式,选举公报的格式,宣誓公报的格式,选举公报的格式,宣誓公报的格式,2.7316694259643555,1.2256354093551636,0.6409196114622215,0.7858803868293762,0.0,0.2857142857142857,0.2857142857142857
common_voice_zh-TW_35101245,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_35101245.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_35101245_inference.wav,照片会存入云端硬碟,照片会存入云端硬碟,这就是我们的一切,照片会存入云端硬碟,这就是我们的一切,2.020364761352539,1.124160647392273,0.5830566454542006,0.759274423122406,0.0,1.0,1.0
common_voice_zh-TW_24477678,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24477678.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_24477678_inference.wav,冲突升高,冲突升高,冲突生招,冲突升高,冲突生招,3.763893604278565,1.4633550643920898,0.8159242481102454,0.7743160724639893,0.0,0.5,0.5
common_voice_zh-TW_27420342,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_27420342.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_27420342_inference.wav,经过造山运动,经过造山运动,我只好摔了一根刀,经过造山运动,我只好摔了一根刀,1.53494131565094,1.080739974975586,0.4068928123367241,0.4136564433574676,0.0,1.3333333333333333,1.3333333333333333
common_voice_zh-TW_21339092,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_21339092.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_21339092_inference.wav,那如果把看到的转打字出来，就算可以了吗？,那如果把看到的转打字出来就算可以了吗?,那如果把看到的展打字出来就算可以了吗?,那如果把看到的转打字出来就算可以了吗?,那如果把看到的展打字出来就算可以了吗?,2.9998600482940674,1.1904741525650024,0.6372057191978163,0.8366010785102844,0.1,0.15,0.04999999999999999
common_voice_zh-TW_28066581,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_28066581.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_28066581_inference.wav,步骤的主要目的为何？,步骤的主要目的为何?,東修的主要目的為何?,步骤的主要目的为何?,东修的主要目的为何?,2.282987117767334,1.1472790241241455,0.6472207073527543,0.5763989686965942,0.1,0.3,0.19999999999999998
common_voice_zh-TW_19227247,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19227247.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_19227247_inference.wav,请到登记处进行登记,请到登记处进行登记,请到登记处进行登记,请到登记处进行登记,请到登记处进行登记,2.7379071712493896,1.2284201383590698,0.629919534429809,0.8274827003479004,0.0,0.0,0.0
common_voice_zh-TW_19305960,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19305960.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_19305960_inference.wav,也就是以此类推,也就是以此類推,就是以誰來的,也就是以此类推,就是以谁来的,1.3937709331512451,1.0955032110214231,0.2984527636559794,0.8638832569122314,0.0,0.5714285714285714,0.5714285714285714
common_voice_zh-TW_22720959,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22720959.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_22720959_inference.wav,我的演说就要结束了,我的演說就要結束了,"我得言所求,要請你贖我",我的演说就要结束了,"我得言所求,要请你赎我",3.1824657917022705,1.2265692949295044,0.5006517531768959,0.7905778288841248,0.0,1.0,1.0
common_voice_zh-TW_22766584,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22766584.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_22766584_inference.wav,人生就是起起落落，并且祈祷机长不要出差错,"人生就是起起落落,并且祈祷积攒,不要出差错","認真做生意去做做,去到集戰,不要出差錯","人生就是起起落落,并且祈祷积攒,不要出差错","认真做生意去做做,去到集战,不要出差错",2.803614854812622,1.1835825443267822,0.3407681854467421,0.7677651047706604,0.2,0.75,0.55
common_voice_zh-TW_31158867,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_31158867.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_31158867_inference.wav,施力点在中间,施力點在中間,十里点在中间,施力点在中间,十里点在中间,2.655331611633301,1.2159723043441772,0.664039692954535,0.6709325909614563,0.0,0.3333333333333333,0.3333333333333333
common_voice_zh-TW_27165705,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_27165705.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_27165705_inference.wav,类似下列那种组织？,类似下列哪种组织?,類似夏類南蔥薯汁,类似下列哪种组织?,类似夏类南葱薯汁,3.110605478286743,1.5404109954833984,0.7347859971806695,0.7701169848442078,0.2222222222222222,0.7777777777777778,0.5555555555555556
common_voice_zh-TW_30489479,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_30489479.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_30489479_inference.wav,我也有卡带的录音带,我也有卡带的录音带,我也有卡带的录音带,我也有卡带的录音带,我也有卡带的录音带,3.711695909500122,1.338103413581848,0.778817086108728,0.6662783026695251,0.0,0.0,0.0
common_voice_zh-TW_35110960,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_35110960.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_35110960_inference.wav,大概占用五分钟的时间,大概占用五分钟的时间,大概占用5分鐘的時間,大概占用五分钟的时间,大概占用5分钟的时间,3.075835466384888,1.0515670776367188,0.7275891444301367,0.6279458403587341,0.0,0.1,0.1
common_voice_zh-TW_18778445,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_18778445.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_18778445_inference.wav,一百零七年九月十一日,107年9月11日,107年9月11日,107年9月11日,107年9月11日,3.3362812995910645,1.453508973121643,0.4057259005605703,0.7770891189575195,0.7,0.7,0.0
common_voice_zh-TW_24479916,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24479916.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/commonvoice/common_voice_zh-TW_24479916_inference.wav,地震好晃喔,地震好晃哦,皮震好晃喔,地震好晃哦,皮震好晃喔,3.1895854473114014,1.3315675258636477,0.6782206427070357,0.7084925770759583,0.2,0.2,0.0
