file_name,file_path,duration,transcription,speaker_id,asr_result,wer,MOS_Quality,MOS_Naturalness,TER
VIVOSSPK27_066,./tiengviet/vivos_data/train/waves/VIVOSSPK27/VIVOSSPK27_066.wav,13.96875,TÌNH YÊU THƯƠNG THẬT SỰ SỰ KIÊN TRÌ VÀ LÍ TƯỞNG TỐT ĐẸP NHẤT ĐỊNH SẼ CHIẾN THẮNG TẤT CẢ TRONG ĐÓ CÓ CẢ ĐÓI NGHÈO VÀ LẠC HẬU,VIVOSSPK27," Tình yêu thật sự, sự kiên trì và lý tưởng tốt đẹp nhất sẽ chiến thắng tất cả trong đó có cả đói nghèo và lạc hậu.",1.0,4.127289772033691,2.87064790725708,0.06896551724137931
VIVOSSPK27_165,./tiengviet/vivos_data/train/waves/VIVOSSPK27/VIVOSSPK27_165.wav,8.1875,VỞ CÒN CÓ MẶT CÁC DIỄN VIÊN TRUNG DÂN PHƯƠNG DUNG PHI PHỤNG PHÚ HẢI NGỌC TƯỞNG LỆ THI,VIVOSSPK27," Vở còn có mặt các diễn viên trung dân Phương Dung, Phi Phụng, Phú Hải, Ngọc Tưởng, Nệ Thi.",1.0,3.937206268310547,2.9645678997039795,0.0
VIVOSSPK27_213,./tiengviet/vivos_data/train/waves/VIVOSSPK27/VIVOSSPK27_213.wav,5.25,CHỤP HÌNH QUAY PHIM LUÔN ĐƯỢC PHÁT HUY TỐI ĐA TRONG MỌI HOÀN CẢNH CÓ THỂ,VIVOSSPK27, Chụp hình quay phim luôn được phát huy tối đa trong mọi hoàn cảnh có thể.,1.0,4.40098762512207,3.408777952194214,0.0
VIVOSSPK27_170,./tiengviet/vivos_data/train/waves/VIVOSSPK27/VIVOSSPK27_170.wav,7.96875,BẠN BÈ KỂ RẰNG ANH LÀ MỘT NGƯỜI TRẦM TÍNH ĐỨNG ĐẮN MÊ CHỤP ẢNH VÀ XE ĐUA THỂ THAO,VIVOSSPK27," Bạn bè kể rằng anh là một người trầm tính, đứng đắn, mê chụp ảnh và xe đua thể thao.",1.0,3.9168660640716553,2.8450796604156494,0.0
VIVOSSPK27_022,./tiengviet/vivos_data/train/waves/VIVOSSPK27/VIVOSSPK27_022.wav,7.625,ĐỪNG VỘI VÀNG ẢO TƯỞNG VỀ MỘT MỐI QUAN HỆ HOÀN TOÀN ĐẸP VÀ TUYỆT VỜI NHƯ TRONG MỘNG CỦA HAI NGƯỜI,VIVOSSPK27, Đừng vội vàng áo tưởng về một mối quan hệ hoàn toàn đẹp và tuyệt vời như trong mộng của hai người.,1.0,4.192124843597412,3.1685616970062256,0.045454545454545456
VIVOSSPK27_047,./tiengviet/vivos_data/train/waves/VIVOSSPK27/VIVOSSPK27_047.wav,10.25,LÝ DO LÀ PHIM CÒN THIẾU ĐỈNH ĐIỂM CAO TRÀO LÀM CHO SAU KHI KẾT THÚC MỖI TÌNH TIẾT NGƯỜI XEM CẢM THẤY HỤT HẪNG VÀ TIẾC,VIVOSSPK27, Lý do là phim còn thiếu đỉnh điểm cao trào làm cho sau kết thúc mỗi tình tiết người xem cảm thấy hụt hững và tiếc.,1.0,4.275913715362549,3.0395326614379883,0.037037037037037035
VIVOSSPK27_078,./tiengviet/vivos_data/train/waves/VIVOSSPK27/VIVOSSPK27_078.wav,5.96875,HẠNH PHÚC ĐÃ MỈM CƯỜI ĐỐI VỚI GIA ĐÌNH CHÚNG TÔI MẶC DÙ TIỀN ĐỀ CỦA HẠNH PHÚC ĐÓ KHÔNG PHẢI LÀ TIỀN ĐÂU,VIVOSSPK27," Hạnh phúc đã mỉm cười đối với gia đình chúng tôi, dù tiền đề của hạnh phúc không phải là tiền đâu.",1.0,4.28318977355957,2.8645987510681152,0.08333333333333333
VIVOSSPK27_023,./tiengviet/vivos_data/train/waves/VIVOSSPK27/VIVOSSPK27_023.wav,8.71875,MẤU CHỐT CỦA VẤN ĐỀ NẰM Ở CHỖ CƠ QUAN NÀO ĐANG LÀ NHẠC TRƯỞNG PHỤ TRÁCH VIỆC LIÊN KẾT VÀ PHÁT TRIỂN VÙNG,VIVOSSPK27, Mấu chốt của vấn đề nằm ở chỗ cơ quan nào đang là nhà trưởng phụ trách việc liên kết và phát triển vùng.,1.0,4.164619445800781,3.2277982234954834,0.041666666666666664
VIVOSSPK27_168,./tiengviet/vivos_data/train/waves/VIVOSSPK27/VIVOSSPK27_168.wav,10.9375,THEO ÔNG CÔNG TÁC GIÁM SÁT HIỆN NAY CÒN ĐIỀU GÌ BẤT CẬP LÀM SAO ĐỂ VIỆC GIÁM SÁT ĐẢM BẢO CHẤT LƯỢNG,VIVOSSPK27," Theo ông công tác giám sát hiện nay, còn điều gì bất cập làm sao để việc giám sát đảm bảo chất lượng?",1.0,3.8807199001312256,2.7417564392089844,0.0
VIVOSSPK27_060,./tiengviet/vivos_data/train/waves/VIVOSSPK27/VIVOSSPK27_060.wav,8.15625,TÔI TỪNG KHÓ CHỊU VỚI SỰ NHẠY CẢM THÁI QUÁ CỦA HỌ HAY NHỮNG Ý TƯỞNG XA VỜI HỌ NGHĨ RA,VIVOSSPK27, Tôi từng khó chịu với sự nhạy cảm thái quá của họ hay những ý tưởng xa vời họ nghĩ ra.,1.0,4.135098457336426,3.345777750015259,0.0
