file_name,file_path,duration,transcription,speaker_id,asr_result,wer,MOS_Quality,MOS_Naturalness,TER
VIVOSSPK29_160,./tiengviet/vivos_data/train/waves/VIVOSSPK29/VIVOSSPK29_160.wav,6.875,CÁI THEN CÀI CỬA TRONG CHÙA LÀ MỘT CÂY CỘT LỚN DÀI TỪ DƯỚI ĐẤT LÊN ĐẾN ĐỈNH,VIVOSSPK29, Cái then cài cửa trong chùa là một cây cục lớn dài từ dưới đất lên đến đỉnh.,1.0,4.804957389831543,4.158016681671143,0.0
VIVOSSPK18_002,./tiengviet/vivos_data/train/waves/VIVOSSPK18/VIVOSSPK18_002.wav,2.875,CHỜ BÓNG TÌM MÌNH CHỨ MÌNH KHÔNG TÌM BÓNG,VIVOSSPK18, Chờ bóng tìm mình chứ mình không tìm bóng,1.0,4.728819847106934,4.105983257293701,0.0
VIVOSSPK18_109,./tiengviet/vivos_data/train/waves/VIVOSSPK18/VIVOSSPK18_109.wav,1.5625,BẠN CẦN BIẾT RÕ,VIVOSSPK18, Bạn cần biết rõ.,1.0,4.613039970397949,4.198493003845215,0.0
VIVOSSPK18_054,./tiengviet/vivos_data/train/waves/VIVOSSPK18/VIVOSSPK18_054.wav,1.78125,MẤY NĂM NỮA,VIVOSSPK18, Mấy năm nữa,1.0,4.448248863220215,4.331552982330322,0.0
VIVOSSPK18_155,./tiengviet/vivos_data/train/waves/VIVOSSPK18/VIVOSSPK18_155.wav,2.5625,NHÓM NGŨ TẤU KÈN GỖ CỦA NHẠC VIỆN HÀ NỘI,VIVOSSPK18, Nhóm ngũ táo kèn gỗ của Nhạc viện Hà Nội,1.0,4.890881538391113,3.9080381393432617,0.0
VIVOSSPK29_155,./tiengviet/vivos_data/train/waves/VIVOSSPK29/VIVOSSPK29_155.wav,6.0,SAU NỤ HÔN DÀI TƯỞNG NHƯ BẤT TẬN QUANH QUẨN RỒI SIM CŨNG KỂ CHUYỆN NHÀ,VIVOSSPK29, Sau nụ hôn dài tưởng như bất tận Quanh quẩn rồi xem cũng kể chuyện nhà,1.0,4.729083061218262,3.981106996536255,0.0
VIVOSSPK29_184,./tiengviet/vivos_data/train/waves/VIVOSSPK29/VIVOSSPK29_184.wav,5.875,NÓ HIỂU RẰNG CUỘC ĐỜI CŨNG THƯỜNG GIÁNG NHỮNG CÚ CÒN ĐAU HƠN CẢ CÚ LÊN GỐI VÀO MẠN SƯỜN,VIVOSSPK29, Nó hiểu rằng cuộc đời cũng thường dán những cú đòn đau hơn cả cú lên gói vào mạng sườn,1.0,4.916411876678467,3.9197165966033936,0.05
VIVOSSPK22_252,./tiengviet/vivos_data/train/waves/VIVOSSPK22/VIVOSSPK22_252.wav,2.90625,CÓ TRẢ TIỀN CHO BỐ KHÔNG THÌ BẢO,VIVOSSPK22, Có trả tiền cho bố không thì bảo.,1.0,4.525550842285156,4.1240339279174805,0.0
VIVOSSPK20_256,./tiengviet/vivos_data/train/waves/VIVOSSPK20/VIVOSSPK20_256.wav,2.375,BÂY GIỜ UỐNG BIA HAY LÀ CỞI ĐỒ,VIVOSSPK20, Bây giờ uống bia hay là cởi đồ?,1.0,4.593586921691895,4.042745113372803,0.0
VIVOSSPK18_139,./tiengviet/vivos_data/train/waves/VIVOSSPK18/VIVOSSPK18_139.wav,3.0,MAY MÀ HAI VỢ CHỒNG VÀ HAI ĐỨA CON,VIVOSSPK18, May mà hai vợ chồng và hai đứa con...,1.0,4.5836029052734375,4.0445332527160645,0.0
